# Theme coverage ratchet baseline.
#
# Each line is one color-kind paint declaration referencing a custom
# property whose resolution chain does not reach a public token (the
# --wuu-* contract set). Lines are deterministic: sorted by file, then
# variable, then property, then line.
#
# Reduction owner: U3 (first-layer derivation batch).
# Priority order: workspace.css -> turns.css -> sidebar.css -> settings.css
# -> composer.css / conversation-shell.css -> channels.css -> environment.css
# -> image-preview.css -> remaining files.
#
# Exact-match ratchet: computed violations must equal this file exactly.
# - A new unbridged color surface adds lines: bridge it and update the
#   baseline in the same commit.
# - Bridging a variable removes its lines: delete them here in the same
#   commit (stale lines fail the test, so the baseline cannot rot silently).
# The only sanctioned bridge form:
#   prop: var(--wuu-slot, var(--private-fallback))
#
# Format: file:line property variable
archive-tip.css:91 background --ink-overlay-8
archive-tip.css:118 background --ink-overlay-8
base.css:398 background --selection-bg
channels.css:2160 background --danger-soft
channels.css:2334 background --danger-soft
channels.css:2428 background --danger-soft
channels.css:1603 box-shadow --ink-overlay-12
channels.css:165 background --ink-overlay-18
channels.css:1076 background --ink-overlay-18
channels.css:1302 box-shadow --ink-overlay-18
channels.css:1570 fill --ink-overlay-18
channels.css:51 background --ink-overlay-4
channels.css:1088 background --ink-overlay-4
channels.css:1830 background --ink-overlay-4
channels.css:1872 background --ink-overlay-4
channels.css:1908 background --ink-overlay-4
channels.css:2083 background --ink-overlay-4
channels.css:2565 background --ink-overlay-4
channels.css:1740 background --ink-overlay-6
channels.css:166 box-shadow --ink-overlay-8
channels.css:1077 box-shadow --ink-overlay-8
channels.css:1492 box-shadow --ink-overlay-8
channels.css:1813 box-shadow --ink-overlay-8
channels.css:1984 box-shadow --ink-overlay-8
channels.css:165 background --sidebar-resizer-hover-bg
channels.css:1076 background --sidebar-resizer-hover-bg
channels.css:166 box-shadow --sidebar-resizer-hover-ring
channels.css:1077 box-shadow --sidebar-resizer-hover-ring
channels.css:544 background --success-soft
chat.css:87 background --ink-overlay-4
composer-context-meter.css:88 box-shadow --context-meter-tooltip-shadow
composer-context-meter.css:48 stroke --context-meter-track
composer-token-gauge.css:109 box-shadow --token-gauge-tooltip-shadow
composer-token-gauge.css:55 stroke --token-gauge-track
composer.css:584 background --composer-file-attachment-button-hover-bg
composer.css:1040 background --composer-file-attachment-button-hover-bg
composer.css:337 box-shadow --composer-frame-shadow
composer.css:360 box-shadow --composer-frame-shadow
composer.css:537 box-shadow --composer-image-attachment-button-shadow
composer.css:2178 background --composer-permission-mode-danger-bg
composer.css:2177 border-color --composer-permission-mode-danger-border
composer.css:1640 color --composer-send-button-disabled-text
composer.css:1403 background --danger-soft
composer.css:1804 background --danger-soft
composer.css:2173 background --danger-soft
composer.css:354 box-shadow --ink-overlay-18
composer.css:434 outline --ink-overlay-18
composer.css:641 outline --ink-overlay-18
composer.css:709 outline --ink-overlay-18
composer.css:993 outline --ink-overlay-18
composer.css:1180 outline --ink-overlay-18
composer.css:1229 outline --ink-overlay-18
composer.css:1710 outline --ink-overlay-18
composer.css:672 background --ink-overlay-4
composer.css:86 background --ink-overlay-6
composer.css:193 background --ink-overlay-6
composer.css:1441 background --ink-overlay-6
composer.css:592 border-bottom --ink-overlay-6
composer.css:35 border-top --ink-overlay-6
composer.css:596 border-top --ink-overlay-6
composer.css:667 border-top --ink-overlay-6
composer.css:636 background --ink-overlay-8
composer.css:1175 background --ink-overlay-8
composer.css:425 background-color --ink-overlay-8
composer.css:9 border --ink-overlay-8
composer.css:140 border --ink-overlay-8
conversation-shell.css:953 border-color --danger-border
conversation-shell.css:1029 border-color --danger-border
conversation-shell.css:867 background --danger-soft
conversation-shell.css:954 background --danger-soft
conversation-shell.css:989 background --danger-soft
conversation-shell.css:781 border --ink-overlay-12
conversation-shell.css:445 box-shadow --ink-overlay-12
conversation-shell.css:454 background --ink-overlay-4
conversation-shell.css:611 background --ink-overlay-8
conversation-shell.css:1097 box-shadow --shell-jump-pill-contact-shadow
conversation-shell.css:1178 box-shadow --shell-jump-pill-contact-shadow
conversation-shell.css:1185 box-shadow --shell-jump-pill-focus-shadow-2
conversation-shell.css:1178 box-shadow --shell-jump-pill-hover-shadow
conversation-shell.css:1097 box-shadow --shell-jump-pill-shadow
conversation-shell.css:745 background --shell-launch-preview-button-hover-bg
conversation-shell.css:784 box-shadow --shell-run-debug-panel-shadow-1
conversation-shell.css:784 box-shadow --shell-run-debug-panel-shadow-2
conversation-shell.css:853 color --shell-run-debug-phase-running-color
conversation-shell.css:578 background --shell-session-tab-active-pending-count-bg
conversation-shell.css:569 background --shell-session-tab-pending-count-bg
conversation-shell.css:506 background --shell-session-tab-status-default
conversation-shell.css:534 border-top-color --shell-session-tab-status-running-notch
conversation-shell.css:1296 background --shell-turn-rail-bar-bg
conversation-shell.css:852 background --success-soft
conversation-shell.css:857 background --success-soft
conversation-shell.css:881 background --success-soft
conversation-shell.css:949 background --success-soft
conversation-shell.css:948 border-color --success-soft
conversation-shell.css:1017 border-color --success-soft
conversation-shell.css:1021 border-color --success-soft
conversation-shell.css:1025 border-color --warning-border
conversation-shell.css:862 background --warning-soft
environment.css:1062 background --danger-soft
environment.css:1326 background --danger-soft
environment.css:1271 color --danger-soft
environment.css:1075 background --env-pr-result-bg
environment.css:603 background --env-search-error-bg
environment.css:836 background --env-search-error-bg
environment.css:307 box-shadow --env-shadow-dark-005
environment.css:100 box-shadow --env-shadow-dark-006
environment.css:307 box-shadow --env-shadow-dark-007
environment.css:100 box-shadow --env-shadow-dark-008
environment.css:518 box-shadow --env-shadow-dark-010
environment.css:1130 box-shadow --env-shadow-dark-010
environment.css:518 box-shadow --env-shadow-dark-024
environment.css:938 box-shadow --env-shadow-dark-024
environment.css:97 border --ink-overlay-12
environment.css:303 border --ink-overlay-12
environment.css:1442 border --ink-overlay-12
environment.css:1642 border --ink-overlay-12
environment.css:1242 border-color --ink-overlay-12
environment.css:1544 border-color --ink-overlay-12
environment.css:1243 box-shadow --ink-overlay-12
environment.css:1545 box-shadow --ink-overlay-12
environment.css:805 color --ink-overlay-8
image-preview.css:23 background --image-preview-overlay-bg
image-preview.css:155 color --image-preview-status-text
image-preview.css:57 color --image-preview-title-text
image-preview.css:67 background --image-preview-toolbar-actions-bg
image-preview.css:65 border --image-preview-toolbar-border
image-preview.css:89 background --image-preview-toolbar-button-active
image-preview.css:85 background --image-preview-toolbar-button-hover
image-preview.css:44 color --image-preview-toolbar-text
image-preview.css:107 color --image-preview-zoom-text
responsive-design.css:435 background --ink-overlay-12
responsive-design.css:441 background --ink-overlay-12
responsive-design.css:481 border --ink-overlay-12
responsive-design.css:493 background --ink-overlay-4
responsive-design.css:376 background --ink-overlay-6
responsive-design.css:390 border-bottom --ink-overlay-6
responsive-design.css:343 border-bottom --ink-overlay-8
responsive-design.css:473 border-top --ink-overlay-8
responsive-design.css:332 box-shadow --responsive-design-panel-shadow
responsive-design.css:300 background --responsive-design-toggle-bg
responsive-design.css:312 background --responsive-design-toggle-hover-bg
responsive-design.css:314 box-shadow --responsive-design-toggle-hover-shadow
responsive-design.css:303 box-shadow --responsive-design-toggle-shadow
scrollbars.css:69 background-color --scrollbar-thumb
scrollbars.css:81 background-color --scrollbar-thumb-active
scrollbars.css:75 background-color --scrollbar-thumb-hover
scrollbars.css:42 background --scrollbar-track-bg
scrollbars.css:47 background --scrollbar-track-bg
scrollbars.css:61 background --scrollbar-track-bg
select-menu.css:222 border-color --ink-overlay-18
select-menu.css:143 box-shadow --ink-overlay-18
select-menu.css:51 box-shadow --ink-overlay-8
select-menu.css:118 box-shadow --ink-overlay-8
settings.css:692 background --danger-border
settings.css:615 background --danger-soft
settings.css:687 background --danger-soft
settings.css:742 background --gray-0
settings.css:1621 background --gray-100
settings.css:1632 background --gray-100
settings.css:1673 background --gray-100
settings.css:711 background --gray-350
settings.css:903 border --gray-350
settings.css:517 border-color --gray-350
settings.css:1954 border-color --gray-350
settings.css:920 border-color --gray-600
settings.css:826 border-color --gray-800
settings.css:983 border-color --gray-800
settings.css:827 box-shadow --gray-800
settings.css:984 box-shadow --gray-800
settings.css:668 background --gray-900
settings.css:673 background --gray-900
settings.css:718 background --gray-900
settings.css:657 box-shadow --ink-overlay-12
settings.css:727 box-shadow --ink-overlay-12
settings.css:875 border-color --ink-overlay-18
settings.css:743 box-shadow --ink-overlay-18
settings.css:682 background --ink-overlay-6
settings.css:722 box-shadow --ink-overlay-6
settings.css:209 background --ink-overlay-8
settings.css:518 box-shadow --ink-overlay-8
settings.css:1955 box-shadow --ink-overlay-8
settings.css:1637 background --settings-heatmap-level-1
settings.css:1642 background --settings-heatmap-level-2
settings.css:1647 background --settings-heatmap-level-3
settings.css:1227 background --settings-heatmap-level-4
settings.css:1293 background --settings-heatmap-level-4
settings.css:1652 background --settings-heatmap-level-4
settings.css:1059 background --settings-preview-dark-canvas
settings.css:1071 background --settings-preview-dark-canvas
settings.css:1067 background --settings-preview-dark-line
settings.css:1080 background --settings-preview-dark-line
settings.css:1063 background --settings-preview-dark-sidebar
settings.css:1047 background --settings-preview-light-canvas
settings.css:1071 background --settings-preview-light-canvas
settings.css:1055 background --settings-preview-light-line
settings.css:1080 background --settings-preview-light-line
settings.css:1051 background --settings-preview-light-sidebar
settings.css:1075 background --settings-preview-light-sidebar
settings.css:2116 background --settings-remote-qr-quiet-zone
settings.css:610 background --success-soft
side-thread.css:59 background --sidebar-resizer-hover-bg
side-thread.css:60 box-shadow --sidebar-resizer-hover-ring
sidebar.css:135 box-shadow --ink-overlay-12
sidebar.css:2059 box-shadow --ink-overlay-12
sidebar.css:398 box-shadow --ink-overlay-8
sidebar.css:404 box-shadow --ink-overlay-8
sidebar.css:435 box-shadow --ink-overlay-8
sidebar.css:506 box-shadow --ink-overlay-8
sidebar.css:748 border-top --sidebar-dev-fixture-nav-border
sidebar.css:433 border-right-color --sidebar-drawer-edge
sidebar.css:504 border-right-color --sidebar-drawer-edge
sidebar.css:435 box-shadow --sidebar-drawer-inner-edge
sidebar.css:506 box-shadow --sidebar-drawer-inner-edge
sidebar.css:256 box-shadow --sidebar-edge-shadow
sidebar.css:469 box-shadow --sidebar-edge-shadow
sidebar.css:2059 box-shadow --sidebar-glass-overlay-bright
sidebar.css:253 border-right --sidebar-material-edge
sidebar.css:466 border-right-color --sidebar-material-edge
sidebar.css:254 background --sidebar-material-fill
sidebar.css:255 background --sidebar-material-fill
sidebar.css:467 background --sidebar-material-fill
sidebar.css:468 background --sidebar-material-fill
sidebar.css:269 background --sidebar-material-highlight
sidebar.css:256 box-shadow --sidebar-material-inner-edge
sidebar.css:469 box-shadow --sidebar-material-inner-edge
sidebar.css:269 background --sidebar-material-veil-1
sidebar.css:269 background --sidebar-material-veil-2
sidebar.css:894 box-shadow --sidebar-nav-item-focus-shadow
sidebar.css:1232 border-top-color --sidebar-project-loading-notch
sidebar.css:1102 background --sidebar-project-row-pending-bg
sidebar.css:581 background --sidebar-resizer-hover-bg
sidebar.css:670 background --sidebar-resizer-hover-bg
sidebar.css:582 box-shadow --sidebar-resizer-hover-ring
sidebar.css:671 box-shadow --sidebar-resizer-hover-ring
sidebar.css:1828 background --sidebar-row-action-archive-confirm-bg
sidebar.css:1278 box-shadow --sidebar-row-icon-focus-shadow
sidebar.css:1273 background --sidebar-row-icon-hover-bg
sidebar.css:978 background --sidebar-row-icon-hover-bg-default
sidebar.css:869 background --sidebar-row-selected-bg
sidebar.css:879 background --sidebar-row-selected-bg
sidebar.css:885 background --sidebar-row-selected-bg
sidebar.css:1477 background --sidebar-session-status-bg
sidebar.css:1487 background --sidebar-session-status-bg
sidebar.css:1492 background --sidebar-session-status-bg
sidebar.css:1899 box-shadow --sidebar-settings-button-hover-ring
